"","persnr","vp12501","vp12502","vp12503","vp12504","vp12505","vp12506","vp12507","vp12508","vp12509","vp12510","vp12511","vp12512","vp12513","vp12514","vp12515","vp12601","vp12602","vp12603","vp12604","vp12605","vp12606","vp12707","vp12704","vp12702","vp12701","vp12703","vp12710","vp12706","vp12708","vp12709","vp12705","vp13602","vp13601","vp148","vp10","vp5001","vp07","vp41","vp40","vp4301","vp5501","vp5502","vp9501","vp06","vp38","vp4304","vp2302","vp2303","vp2304","vp2305","vp2306","vp2307","vp2308","vp2309","vp2310","vp2311","vp13","vp11","vp17","vp14","vp12","vp100a03","vp100b03","vp100c03","vp100a01","vp100h03","vp100k03","vp100l03","vp8001","vp67"
"1",201,6,7,1,4,6,7,1,6,5,2,5,7,7,7,4,6,1,5,3,1,4,5,4,5,6,5,3,5,4,4,4,-2,2,4,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"2",203,7,6,4,6,6,4,1,5,4,2,5,2,6,7,5,7,2,3,4,2,5,4,2,2,6,4,2,4,2,5,2,-2,2,3,2,-2,2,3,2,-2,3,5,-2,3,1,-2,20,100,100,0,10,50,10,50,80,50,-2,-2,-2,-2,-2,-2,2500,-2,-2,1250,-2,-2,-2,3
"3",602,5,5,3,4,5,4,3,5,4,3,3,3,4,5,4,5,5,4,5,3,5,6,5,3,6,4,3,5,4,3,3,-2,2,1,4,1,2,1,2,-2,1,1,-2,3,3,-2,60,50,30,30,50,50,0,40,50,30,-2,-2,-2,-2,-2,-2,200,-2,-2,-2,-2,-2,-2,3
"4",901,6,4,4,5,6,5,4,5,3,3,5,6,5,4,3,6,5,3,4,3,5,3,5,5,6,3,2,6,5,6,6,-2,2,3,1,10,2,2,2,-2,2,-1,-2,3,-2,3,50,0,0,0,0,50,0,30,40,20,-2,-2,-2,-2,-2,1783,-2,-2,1,-2,-2,-2,-2,2
"5",1202,7,6,1,6,6,-1,1,7,5,6,4,7,7,6,3,7,1,1,7,1,5,7,2,1,6,6,2,7,4,2,1,-2,2,5,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"6",1501,6,6,2,4,5,2,2,3,4,4,6,5,6,5,3,7,2,2,6,1,6,2,5,2,5,2,3,6,3,2,5,-2,2,3,1,-2,2,3,2,-2,5,5,-2,3,-2,-2,0,0,-1,0,0,0,0,0,100,-1,-2,-2,-2,-2,-2,-2,6160,-2,-2,-2,-2,-2,-2,3
"7",1601,7,7,7,5,6,5,1,4,5,7,7,5,6,4,3,7,4,4,7,5,7,5,6,6,7,7,1,7,7,6,1,-2,2,1,9,-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
"8",1602,7,6,1,4,1,6,1,7,7,5,7,5,7,5,7,7,1,2,7,1,7,3,6,6,4,1,1,7,6,7,1,-2,-2,1,2,5,2,3,1,1,5,1,2,3,5,-2,40,0,20,10,80,80,0,10,100,0,-2,-2,-2,-2,-2,600,-2,-2,1,-2,-2,-2,-2,2
"9",1603,7,7,3,6,3,2,4,5,5,4,6,5,6,7,4,4,4,2,5,6,6,5,6,1,7,4,5,7,7,7,1,-2,-2,3,9,-2,1,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,2,2,3,300,-2,-2,1,-2,-2,-2,-2,-2
"10",1701,7,6,1,5,3,7,1,2,3,1,7,2,7,4,7,6,2,1,5,1,7,1,2,1,4,1,1,6,2,5,1,-2,2,1,1,1,2,2,2,-2,5,5,-2,3,-2,5,10,10,0,0,0,0,0,0,10,10,-2,-2,-2,-2,-2,3274,-2,-2,1,-2,-2,-2,-2,1
