9115,7206401,720640,2,NaN,NaN,720640,2,1966,1,1,118,5,3,2,39,7,6,6,6,6,4,1,7,2,1,7,6,5,7,5,NaN,1,2,1,2,2,2,NaN,3,3,NaN,3,NaN,4,0,0,0,0,0,60,0,60,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1,9,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,4,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,7,6,6,7,6,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1500,NaN,NaN,6,5,12,2,2,7,5,5,7,5,7,2,2,6,6,3,6,5,3,6,NaN,1,NaN,NaN,NaN,11,5,530,5
2244,810604,56251,2,29,NaN,56251,2,1965,1,1,2,5,2,2,40,6,5,3,5,7,6,2,4,4,5,6,6,6,5,6,2,1,1,66,2,2,2,2,5,1,NaN,3,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,38,1,1,64,2,1,2,2,5,1,NaN,3,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,5,3,3,7,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,220,2,2,7,4,2,7,2,5,5,4,5,5,4,6,5,5,3,NaN,1,NaN,NaN,NaN,11,3,220,2
614,162702,16276,0,30,NaN,16276,2,1967,1,1,1,5,2,1,38,7,7,2,4,4,5,1,7,5,3,7,7,7,6,5,2,1,1,3,2,2,2,NaN,3,3,NaN,3,NaN,4,0,0,0,0,0,0,0,0,10,20,NaN,NaN,NaN,NaN,NaN,42,1,2,2,2,1,2,NaN,3,3,NaN,3,5,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,7,5,7,7,5,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,540,0,0,7,2,2,7,2,6,1,3,6,6,2,7,6,7,6,NaN,1,NaN,NaN,NaN,11,3,530,8
4466,2741002,274100,1,54,55,274100,2,1978,1,1,1,7,2,1,27,6,6,4,4,6,6,2,4,3,5,5,6,6,3,3,2,3,1,35,2,2,2,5,2,5,NaN,3,NaN,NaN,0,20,50,0,0,30,0,0,50,30,NaN,NaN,NaN,NaN,NaN,17.5,3,2,5,2,1,2,5,3,5,NaN,3,NaN,NaN,NaN,NaN,NaN,1,2,3,3,3,1,6,5,2,4,5,9,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,5,250,0,1,7,3,1,6,1,5,4,3,5,2,2,6,5,5,2,NaN,1,NaN,NaN,NaN,11,5,250,6
3844,2599003,259900,1,69,NaN,259900,2,1976,1,1,1,8,2,1,29,6,4,1,5,7,6,2,7,5,5,6,2,6,3,1,2,4,9,NaN,2,NaN,NaN,NaN,NaN,NaN,11,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,2,1,2,45,4,1,30,2,1,2,NaN,2,5,NaN,3,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,6,3,4,4,8,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,11,3,620,1,1,7,1,1,6,4,6,2,1,7,2,1,7,3,6,1,NaN,1,NaN,NaN,NaN,10,3,10,7
2523,972002,41220,3,30,NaN,41220,2,1968,1,1,1,2,2,1,37,6,6,3,3,7,2,1,6,1,4,6,3,6,1,6,2,1,4,8,2,2,2,NaN,2,1,NaN,3,NaN,2,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,27.5,1,2,5,2,1,2,NaN,2,NaN,NaN,3,2,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,6,6,6,6,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,6,521,3,3,7,2,6,6,5,1,3,1,7,3,5,6,5,3,2,NaN,1,NaN,NaN,NaN,11,6,521,2
2056,613703,31917,2,67,NaN,31917,2,1967,1,1,1,3,2,1,38,6,7,5,5,4,5,5,5,7,3,6,2,4,6,6,2,1,2,1,2,3,2,NaN,3,3,NaN,3,NaN,NaN,30,50,NaN,10,10,20,0,0,60,0,NaN,NaN,NaN,NaN,NaN,46,1,1,NaN,2,NaN,NaN,NaN,2,2,NaN,3,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,5,7,4,4,5,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,11,6,431,2,2,7,2,2,6,2,5,3,7,6,3,2,5,2,2,3,NaN,NaN,NaN,NaN,NaN,11,6,431,7
1148,291503,29157,0,71,25,29157,2,1980,1,1,1,7,2,1,25,7,6,3,5,6,5,3,6,6,3,7,6,6,6,5,2,3,1,20,2,1,2,NaN,5,NaN,NaN,3,4,4,60,30,0,60,0,0,0,0,40,40,NaN,NaN,NaN,NaN,NaN,40,3,1,25,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,7,2,5,3,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,6,530,0,0,7,2,2,7,3,7,4,5,6,4,2,5,6,6,2,NaN,1,NaN,NaN,NaN,11,6,530,7
2269,823902,39861,2,68,NaN,39861,2,1967,1,1,1,4,2,1,38,7,5,3,4,5,6,2,5,5,6,6,3,6,5,3,2,1,9,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,9,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,7,5,5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,10,2,2,6,5,3,6,5,6,4,4,5,4,3,5,6,6,3,NaN,NaN,NaN,NaN,NaN,1,3,10,3
5355,2925302,292532,2,NaN,NaN,292532,2,1970,1,1,1,12,1,1,35,7,7,1,2,5,7,1,6,4,6,7,7,7,6,7,2,1,3,32,2,1,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,30,1,2,9,2,1,2,NaN,1,1,NaN,3,3,NaN,NaN,NaN,NaN,1,2,2,3,3,2,6,7,1,4,3,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,522,2,2,7,1,1,7,1,4,6,5,4,1,1,7,5,6,1,NaN,NaN,NaN,NaN,520,11,3,11,0
